STATE,COUNTY,POPESTIMATE2015
5,147,6741
5,149,21713
6,0,39144818
6,1,1638215
6,3,1110
6,5,37001
6,7,225411
6,9,44828
6,11,21482
6,13,1126745
6,15,27254
6,17,184452
6,19,974861
6,21,28017
6,23,135727
6,25,180191
6,27,18260
6,29,882176
6,31,150965
6,33,64591
6,35,31345
6,37,10170292
6,39,154998
6,41,261221
6,43,17531
6,45,87649
6,47,268455
6,49,8965
6,51,13909
6,53,433898
6,55,142456
6,57,98877
6,59,3169776
6,61,375391
6,63,18409
6,65,2361026
6,67,1501335
6,69,58792
6,71,2128133
6,73,3299521
6,75,864816
6,77,726106
6,79,281401
6,81,765135
6,83,444769
6,85,1918044
6,87,274146
6,89,179533
6,91,2967
6,93,43554
6,95,436092
6,97,502146
6,99,538388
6,101,96463
6,103,63308
6,105,13069
6,107,459863
6,109,53709
6,111,850536
6,113,213016
6,115,74492
8,0,5456574
8,1,491337
8,3,16496
8,5,631096
8,7,12352
8,9,3615
8,11,5830
8,13,319372
8,14,65065
8,15,18658
8,17,1829
8,19,9303
8,21,8130
8,23,3584
8,25,5562
8,27,4445
8,29,29979
8,31,682545
8,33,1978
8,35,322387
8,37,53605
8,39,24735
8,41,674471
8,43,46692
8,45,58095
8,47,5828
8,49,14615
8,51,16067
8,53,774
8,55,6492
8,57,1356
8,59,565524
8,61,1423
8,63,7758
8,65,7485
8,67,54688
8,69,333577
8,71,14058
8,73,5557
8,75,22036
8,77,148513
8,79,726
8,81,12937
8,83,26168
8,85,40946
8,87,28360
8,89,18343
8,91,4691
8,93,16510
8,95,4349
8,97,17787
8,99,11954
8,101,163591
8,103,6571
8,105,11543
8,107,24130
8,109,6251
8,111,701
8,113,7879
8,115,2399
8,117,30257
8,119,23385
8,121,4864
8,123,285174
8,125,10146
9,0,3590886
9,1,948053
9,3,895841
9,5,183603
9,7,164063
9,9,859470
9,11,271863
9,13,151420
9,15,116573
10,0,945934
10,1,173533
10,3,556779
10,5,215622
11,0,672228
11,1,672228
12,0,20271272
12,1,259964
12,3,27420
12,5,181635
12,7,26928
12,9,568088
12,11,1896425
12,13,14462
12,15,173115
12,17,141058
12,19,203967
12,21,357305
12,23,68348
12,27,35458
12,29,16203
12,31,913010
12,33,311003
12,35,105392
12,37,11761
12,39,46036
12,41,17199
12,43,13670
12,45,15871
12,47,14295
12,49,27502
12,51,39119
12,53,178439
12,55,99491
12,57,1349050
12,59,19324
12,61,147919
12,63,48599
12,65,14081
12,67,8663
12,69,325875
12,71,701982
12,73,286272
12,75,39832
12,77,8331
12,79,18408
12,81,363369
12,83,343254
12,85,156283
12,86,2693117
12,87,77482
12,89,78444
12,91,198664
12,93,39469
12,95,1288126
12,97,323993
12,99,1422789
12,101,497909
12,103,949827
12,105,650092
12,107,72023
12,109,226640
12,111,298563
12,113,167040
12,115,405549
12,117,449144
12,119,118891
12,121,43760
12,123,22493
12,125,15234
12,127,517887
12,129,31535
12,131,63508
12,133,24687
13,0,10214860
13,1,18454
13,3,8398
13,5,11299
13,7,3180
13,9,45459
13,11,18495
13,13,75370
13,15,102747
13,17,17403
13,19,18963
13,21,153721
13,23,12243
13,25,18455
13,27,15658
13,29,35137
13,31,72651
13,33,22745
13,35,23593
13,37,6479
13,39,52102
13,43,10886
13,45,114545
13,47,66050
13,49,12965
13,51,286956
13,53,11368
13,55,24922
13,57,235900
13,59,123912
13,61,3141
13,63,273955
13,65,6893
13,67,741334
13,69,43108
13,71,45844
13,73,144052
13,75,17124
13,77,138427
13,79,12388
13,81,22881
13,83,16264
13,85,23312
13,87,27174
13,89,734871
13,91,20882
13,93,14035
13,95,91332
13,97,140733
13,99,10575
13,101,4040
13,103,57106
13,105,19364
13,107,22708
13,109,10787
13,111,24303
13,113,110714
13,115,96504
13,117,212438
13,119,22311
13,121,1010562
13,123,29400
13,125,3065
13,127,83579
13,129,56574
13,131,25205
13,133,16710
13,135,895823
13,137,43996
13,139,193535
13,141,8551
13,143,28854
13,145,33381
13,147,25534
13,149,11539
13,151,217739
13,153,150033
13,155,9245
13,157,63360
13,159,13635
13,161,14920
13,163,16106
13,165,8957
13,167,9656
13,169,28494
13,171,18201
13,173,10312
13,175,47731
13,177,29202
13,179,62467
13,181,7673
13,183,17731
13,185,112865
13,187,31408
13,189,21540
13,191,13969
13,193,13632
13,195,28441
13,197,8761
13,199,21190
13,201,5854
13,205,22574
13,207,27103
13,209,8951
13,211,18046
13,213,39565
13,215,200579
13,217,105473
13,219,35965
13,221,14871
13,223,152238
13,225,26720
13,227,30309
13,229,19103
13,231,17941
13,233,41524
13,235,11396
13,237,21353
13,239,2302
13,241,16281
13,243,7193
13,245,201793
13,247,88856
13,249,5168
13,251,14162
13,253,8647
13,255,64051
13,257,25586
13,259,5851
13,261,30779
13,263,6337
13,265,1639
13,267,25229
13,269,8330
13,271,16400
13,273,9113
13,275,45063
13,277,40764
13,279,27241
13,281,11182
13,283,6785
13,285,69763
13,287,8214
13,289,8390
13,291,22267
13,293,26368
13,295,68066
13,297,88399
13,299,35370
13,301,5460
13,303,20816
13,305,29534
13,307,2648
13,309,7903
13,311,28319
13,313,104216
13,315,8857
13,317,9867
13,319,9155
13,321,20699
15,0,1431603
15,1,196428
15,3,998714
15,5,89
15,7,71735
15,9,164637
16,0,1654930
16,1,434211
16,3,3843
16,5,83744
16,7,5922
16,9,9052
16,11,44990
16,13,21592
16,15,7058
16,17,41859
16,19,110089
16,21,11318
16,23,2501
16,25,1066
16,27,207478
16,29,6770
16,31,23506
16,33,880
16,35,8496
16,37,4087
16,39,25876
16,41,13074
16,43,12819
16,45,16852
16,47,15284
16,49,16272
16,51,27157
16,53,22814
16,55,150346
16,57,38778
16,59,7735
16,61,3789
16,63,5297
16,65,38273
16,67,20461
16,69,40048
16,71,4281
16,73,11310
16,75,22896
16,77,7648
16,79,12432
16,81,10564
16,83,82375
16,85,10103
16,87,9984
17,0,12859995
17,1,67013
17,3,6780
17,5,16950
17,7,53585
17,9,6829
17,11,33587
17,13,4899
17,15,14616
17,17,12847
17,19,208861
17,21,33642
17,23,15979
17,25,13428
17,27,37786
17,29,52521
17,31,5238216
17,33,19414
17,35,10898
17,37,104352
17,39,16247
17,41,19823
17,43,933736
17,45,17664
17,47,6534
17,49,34371
17,51,22043
17,53,13736
17,55,39485
17,57,35699
17,59,5265
17,61,13241
17,63,50541
17,65,8200
17,67,18543
17,69,4135
17,71,6995
17,73,49489
17,75,28672
17,77,59362
17,79,9607
17,81,38353
17,83,22372
17,85,22086
17,87,12762
17,89,530847
17,91,110879
17,93,123355
17,95,51441
17,97,703910
17,99,111333
17,101,16491
17,103,34584
17,105,36671
17,107,29494
17,109,31333
17,111,307343
17,113,173166
17,115,107303
17,117,46045
17,119,266209
17,121,38339
17,123,11982
17,125,13701
17,127,14766
17,129,12444
17,131,15858
17,133,33879
17,135,28898
17,137,34828
17,139,14931
17,141,51659
17,143,186221
17,145,21543
17,147,16387
17,149,15989
17,151,4226
17,153,5678
17,155,5644
17,157,32852
17,159,16029
17,161,146133
17,163,264052
17,165,24548
17,167,198712
17,169,7032
17,171,5092
17,173,21775
17,175,5788
17,177,45749
17,179,134800
17,181,17408
17,183,79282
17,185,11542
17,187,17527
17,189,14270
17,191,16423
17,193,14327
17,195,57079
17,197,687263
17,199,67466
17,201,287078
17,203,39227
18,0,6619680
18,1,34980
18,3,368450
18,5,81162
18,7,8681
18,9,12298
18,11,63344
18,13,14977
18,15,19856
18,17,37979
18,19,115371
18,21,26503
18,23,32609
18,25,10483
18,27,32906
18,29,49455
18,31,26521
18,33,42589
18,35,116852
18,37,42461
18,39,203474
18,41,23434
18,43,76778
18,45,16591
18,47,22872
18,49,20315
18,51,33775
18,53,67979
18,55,32441
18,57,309697
18,59,72520
18,61,39578
18,63,158192
18,65,48985
18,67,82556
18,69,36630
18,71,44069
18,73,33470
18,75,21121
18,77,32416
18,79,27897
18,81,149633
18,83,37927
18,85,78620
18,87,38809
18,89,487865
18,91,110884
18,93,45495
18,95,129723
18,97,939020
18,99,46857
18,101,10226
18,103,35862
18,105,144705
18,107,38227
18,109,69648
18,111,14008
18,113,47733
18,115,5938
18,117,19605
18,119,20872
18,121,16901
18,123,19347
18,125,12594
18,127,167688
18,129,25512
18,131,12889
18,133,37585
18,135,25172
18,137,28701
18,139,16672
18,141,268441
18,143,23744
18,145,44478
18,147,20715
18,149,22958
18,151,34372
18,153,20928
18,155,10524
18,157,185826
18,159,15267
18,161,7182
18,163,181877
18,165,15692
18,167,107896
18,169,32138
18,171,8269
18,173,61897
18,175,27827
18,177,67001
18,179,27964
18,181,24293
18,183,33406
19,0,3123899
19,1,7228
19,3,3796
19,5,13886
19,7,12529
19,9,5773
19,11,25658
19,13,133455
19,15,26643
19,17,24722
19,19,21062
19,21,20493
19,23,14915
19,25,9818
19,27,20498
19,29,13427
19,31,18340
19,33,43017
19,35,11574
19,37,12097
19,39,9259
19,41,16507
19,43,17644
19,45,47768
19,47,17094
19,49,80133
19,51,8769
19,53,8220
19,55,17403
19,57,40055
19,59,17111
19,61,97125
19,63,9769
19,65,20257
19,67,15960
19,69,10295
19,71,6906
19,73,9027
19,75,12435
19,77,10676
19,79,15190
19,81,10974
19,83,17367
19,85,14265
19,87,19950
19,89,9410
19,91,9555
19,93,7028
19,95,16401
19,97,19444
19,99,36827
19,101,17555
19,103,144251
19,105,20466
19,107,10163
19,109,15165
19,111,35089
19,113,219916
19,115,11185
19,117,8682
19,119,11745
19,121,15753
19,123,22324
19,125,33294
19,127,40746
19,129,14844
19,131,10832
19,133,8979
19,135,7973
19,137,10234
19,139,43011
19,141,13984
19,143,6154
19,145,15527
19,147,9133
19,149,24800
19,151,7008
19,153,467711
19,155,93671
19,157,18550
19,159,5068
19,161,10021
19,163,172126
19,165,11927
19,167,34937
19,169,96021
19,171,17337
19,173,6205
19,175,12469
19,177,7344
19,179,35173
19,181,48626
19,183,22247
19,185,6385
19,187,37071
19,189,10609
19,191,20709
19,193,102782
19,195,7569
19,197,12773
20,0,2911641
20,1,12717
20,3,7808
20,5,16398
20,7,4823
20,9,27103
20,11,14712
20,13,9776
20,15,66741
20,17,2679
20,19,3402
20,21,20533
20,23,2679
20,25,2096
20,27,8347
20,29,9219
20,31,8384
20,33,1843
20,35,35788
20,37,39217
20,39,2932
20,41,19303
20,43,7797
20,45,118053
20,47,2968
20,49,2605
20,51,29029
20,53,6343
20,55,37118
20,57,34536
20,59,25609
20,61,37030
20,63,2640
20,65,2591
20,67,7733
20,69,6133
20,71,1330
20,73,6244
20,75,2474
20,77,5817
20,79,35073
20,81,4064
20,83,1893
20,85,13338
20,87,18930
20,89,2970
20,91,580159
20,93,3956
20,95,7687
20,97,2564
20,99,20803
20,101,1670
20,103,79315
20,105,3105
20,107,9536
20,109,2825
20,111,33339
20,113,28941
20,115,12103
20,117,9936
20,119,4330
20,121,32553
20,123,6282
20,125,33314
20,127,5645
20,129,3007
20,131,10227
20,133,16346
20,135,3005
20,137,5550
20,139,15847
20,141,3683
20,143,5975
20,145,6838
20,147,5428
20,149,23298
20,151,9691
20,153,2506
20,155,63718
20,157,4725
20,159,9977
20,161,75247
20,163,5174
20,165,3130
20,167,7039
20,169,55691
20,171,4964
20,173,511574
20,175,23152
20,177,178725
20,179,2512
20,181,5983
20,183,3704
20,185,4236
20,187,2072
20,189,5806
20,191,23535
20,193,7904
20,195,2927
20,197,6951
20,199,1518
20,201,5598
20,203,2157
20,205,8856
20,207,3115
20,209,163369
21,0,4425092
21,1,19027
21,3,20640
21,5,21979
21,7,8212
21,9,43570
21,11,12228
21,13,27337
21,15,127712
21,17,20116
21,19,48325
21,21,29809
21,23,8321
21,25,13484
21,27,20018
21,29,78702
21,31,12938
21,33,12681
21,35,38343
21,37,92066
21,39,4874
21,41,10699
21,43,27158
21,45,15808
21,47,73309
21,49,35757
21,51,21013
21,53,10174
21,55,9183
21,57,6759
21,59,99259
21,61,12007
21,63,7648
21,65,14375
21,67,314488
21,69,14637
21,71,37756
21,73,50375
21,75,6238
21,77,8636
21,79,17237
21,81,24757
21,83,37421
21,85,26221
21,87,11010
21,89,36068
21,91,8692
21,93,106439
21,95,27703
21,97,18763
21,99,18454
21,101,46407
21,103,15620
21,105,4612
21,107,46222
21,109,13352
21,111,763623
21,113,51961
21,115,23175
21,117,165012
21,119,15693
21,121,31730
21,123,14241
21,125,60094
21,127,15745
21,129,6752
21,131,10711
21,133,23123
21,135,13682
21,137,24463
21,139,9316
21,141,26910
21,143,8306
21,145,65018
21,147,17878
21,149,9512
21,151,87824
21,153,12808
21,155,19365
21,157,31101
21,159,12307
21,161,17099
21,163,27924
21,165,6358
21,167,21407
21,169,9909
21,171,10667
21,173,27608
21,175,13275
21,177,31183
21,179,45126
21,181,7131
21,183,24216
21,185,64875
21,187,10730
21,189,4461
21,191,14408
21,193,27565
21,195,61792
21,197,12269
21,199,63782
21,201,2138
21,203,16942
21,205,23892
21,207,17662
21,209,52420
21,211,45632
21,213,18006
21,215,17894
21,217,25420
21,219,12531
21,221,14233
21,223,8769
21,225,15050
21,227,122851
21,229,12063
21,231,20464
21,233,13170
21,235,36129
21,237,7259
21,239,25793
22,0,4670724
22,1,62577
22,3,25683
22,5,119455
22,7,22842
22,9,41103
22,11,36462
22,13,13786
22,15,125175
22,17,251460
22,19,198788
22,21,9993
22,23,6817
22,25,10147
22,27,16295
22,29,20142
22,31,27052
22,33,446753
22,35,7307
22,37,19696
22,39,33743
22,41,20410
22,43,22343
22,45,74103
22,47,33095
22,49,15858
22,51,436275
22,53,31439
22,55,240098
22,57,98325
22,59,14974
22,61,47774
22,63,137788
22,65,11514
22,67,26395
22,69,39179
22,71,389617
22,73,156761
22,75,23495
22,77,22251
22,79,132141
22,81,8593
22,83,20523
22,85,24186
22,87,45408
22,89,52812
22,91,10567
22,93,21567
22,95,43626
22,97,83848
22,99,53835
22,101,52810
22,103,250088
22,105,128755
22,107,4740
22,109,113972
22,111,22477
22,113,59875
22,115,50803
22,117,46371
22,119,40021
22,121,25490
22,123,11293
22,125,15385
22,127,14568
23,0,1329328
23,1,107233
23,3,68628
23,5,289977
23,7,29991
23,9,54659
23,11,119980
23,13,39855
23,15,33969
23,17,57202
23,19,152692
23,21,16931
23,23,35149
23,25,51113
23,27,39155
23,29,31625
23,31,201169
24,0,6006401
24,1,72528
24,3,564195
24,5,831128
24,9,90595
24,11,32579
24,13,167627
24,15,102382
24,17,156118
24,19,32384
24,21,245322
24,23,29460
24,25,250290
24,27,313414
24,29,19787
24,31,1040116
24,33,909535
24,35,48904
24,37,111413
24,39,25768
24,41,37512
24,43,149585
24,45,102370
24,47,51540
24,510,621849
25,0,6794422
25,1,214333
25,3,127828
25,5,556772
25,7,17299
25,9,776043
25,11,70601
25,13,470690
25,15,161292
25,17,1585139
25,19,10925
25,21,696023
25,23,510393
25,25,778121
25,27,818963
26,0,9922576
26,1,10349
26,3,9383
26,5,114625
26,7,28803
26,9,23154
26,11,15261
26,13,8575
26,15,59314
26,17,105659
26,19,17457
26,21,154636
26,23,43664
26,25,134314
26,27,51657
26,29,26238
26,31,25427
26,33,38033
26,35,30553
26,37,77390
26,39,13801
26,41,36377
26,43,25788
26,45,108801
26,47,33161
26,49,410849
26,51,25164
26,53,15431
26,55,91636
26,57,41540
26,59,45941
26,61,36380
26,63,31883
26,65,286085
26,67,64223
26,69,25345
26,71,11348
26,73,70698
26,75,159494
26,77,260263
26,79,17260
26,81,636369
26,83,2168
26,85,11424
26,87,88373
26,89,21981
26,91,98573
26,93,187316
26,95,6415
26,97,10890
26,99,864840
26,101,24461
26,103,67215
26,105,28783
26,107,43067
26,109,23548
26,111,83632
26,113,14903
26,115,149568
26,117,62945
26,119,9259
26,121,172790
26,123,47948
26,125,1242304
26,127,26105
26,129,20937
26,131,6007
26,133,23058
26,135,8251
26,137,24253
26,139,279955
26,141,12841
26,143,23898
26,145,193307
26,147,159875
26,149,61018
26,151,41475
26,153,8173
26,155,68619
26,157,53777
26,159,75077
26,161,358880
26,163,1759335
26,165,33003
27,0,5489594
27,1,15702
27,3,344151
27,5,33386
27,7,45672
27,9,39710
27,11,5040
27,13,65787
27,15,25313
27,17,35569
27,19,98741
27,21,28706
27,23,12109
27,25,54293
27,27,62324
27,29,8803
27,31,5194
27,33,11549
27,35,63428
27,37,414686
27,39,20364
27,41,37075
27,43,14050
27,45,20834
27,47,30613
27,49,46435
27,51,5903
27,53,1223149
27,55,18773
27,57,20655
27,59,38429
27,61,45435
27,63,10079
27,65,15837
27,67,42542
27,69,4424
27,71,12841
27,73,6856
27,75,10631
27,77,3923
27,79,27663
27,81,5771
27,83,25673
27,85,35932
27,87,5457
27,89,9423
27,91,20022
27,93,23102
27,95,25788
27,97,32775
27,99,39116
27,101,8413
27,103,33347
